epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,16531.9,2.05289,1.3547,0.00252,0.43858,0.33444,0.30989,0.17039,1.99042,1.42863,0.00341,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16799.4,2.05982,1.35256,0.00251,0.43745,0.33328,0.30879,0.17049,1.98952,1.42852,0.00341,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,17058.8,2.05773,1.34891,0.00249,0.44371,0.3373,0.31248,0.17161,1.99372,1.42605,0.00342,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17322.1,2.04409,1.34579,0.0025,0.43744,0.33759,0.31225,0.17199,1.99123,1.42785,0.00342,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,17584.8,2.04083,1.34042,0.00249,0.43643,0.33447,0.30902,0.17104,1.99015,1.43061,0.00342,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,17838.9,2.04238,1.34148,0.00248,0.44281,0.33151,0.31034,0.17145,1.98712,1.42817,0.00341,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18094,2.04797,1.34397,0.00249,0.43997,0.3371,0.31162,0.17201,1.98567,1.42869,0.00341,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18354.6,2.04088,1.3312,0.00249,0.44183,0.3391,0.31477,0.17346,1.98482,1.42243,0.00341,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,18628.5,2.05249,1.3391,0.00246,0.45156,0.33518,0.31243,0.17192,1.98769,1.42818,0.00341,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,18900.4,2.02349,1.32349,0.00246,0.44077,0.34036,0.31295,0.17159,1.98201,1.42769,0.0034,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,19169.6,2.01816,1.32055,0.00248,0.44368,0.33987,0.31393,0.1725,1.98425,1.42161,0.00339,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,19451.6,2.0274,1.32567,0.00244,0.45129,0.3354,0.31462,0.17346,1.9818,1.4268,0.00339,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,19723.9,2.02917,1.32449,0.00245,0.43952,0.33989,0.31753,0.17467,1.98359,1.4216,0.0034,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,19984,2.01693,1.31414,0.00245,0.44174,0.34021,0.31436,0.17355,1.98373,1.42236,0.00339,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,20250,2.02535,1.32277,0.00244,0.44336,0.33902,0.31256,0.17219,1.98555,1.42359,0.0034,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,20507.9,2.02455,1.31692,0.00245,0.43781,0.34083,0.31178,0.17151,1.98654,1.4258,0.00341,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,20783.6,2.02612,1.31335,0.00244,0.44168,0.34287,0.31392,0.17207,1.98314,1.4251,0.0034,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,21059.5,2.01228,1.30937,0.00244,0.44562,0.34019,0.31463,0.17326,1.98307,1.42348,0.0034,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,21323.9,2.01353,1.31026,0.00243,0.44199,0.33958,0.31351,0.1731,1.98268,1.42225,0.0034,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,21584.9,2.01964,1.31045,0.00243,0.44189,0.34122,0.31317,0.17278,1.9835,1.41992,0.0034,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,21818.1,2.00735,1.30444,0.00242,0.44351,0.34146,0.31358,0.17275,1.97944,1.42182,0.00339,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,21960.1,2.00706,1.30214,0.0024,0.44657,0.34053,0.31445,0.17323,1.97762,1.42192,0.00339,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,22096.1,2.00091,1.2951,0.0024,0.44296,0.33915,0.31381,0.1731,1.98022,1.42295,0.00339,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,22236.1,2.01076,1.30251,0.00241,0.44566,0.33653,0.31294,0.17288,1.98321,1.42297,0.00339,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,22371.2,2.00113,1.29841,0.00241,0.44346,0.33833,0.31457,0.17357,1.9798,1.4211,0.00339,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,22491.5,1.935,1.26988,0.00252,0.44434,0.33941,0.31266,0.17233,1.98396,1.42524,0.0034,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,22612.6,1.92124,1.24791,0.00247,0.44791,0.33617,0.31145,0.17144,1.98493,1.42574,0.00341,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,22731.1,1.92027,1.24273,0.00246,0.45013,0.33719,0.31152,0.17151,1.9831,1.42766,0.0034,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,22857.3,1.9171,1.23934,0.00247,0.44838,0.33353,0.31118,0.17157,1.98328,1.42486,0.0034,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,22979.4,1.9113,1.23471,0.00246,0.44937,0.33397,0.31035,0.17134,1.98536,1.4241,0.0034,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,23101.9,1.91002,1.23019,0.00245,0.44965,0.33573,0.31159,0.17139,1.98435,1.42542,0.0034,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,23219.6,1.9062,1.22728,0.00245,0.4501,0.33624,0.31105,0.17166,1.98335,1.42401,0.0034,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,23341.2,1.90415,1.22299,0.00244,0.45717,0.33488,0.31224,0.1721,1.98306,1.4237,0.0034,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,23457.8,1.90523,1.22416,0.00244,0.45831,0.33278,0.31206,0.1723,1.98266,1.42324,0.0034,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,23577.7,1.89829,1.22193,0.00243,0.45763,0.33066,0.31221,0.17247,1.98152,1.42351,0.0034,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
